State,Order Date,Sales,Quantity,Discount,Profit,Month,Predicted Profit
Alabama,2017-02-04,14.94,3,0.0,0,2,0
Alabama,2017-02-10,10.16,2,0.0,0,2,0
Alabama,2017-04-06,12.48,2,0.0,0,4,0
Alabama,2016-05-08,197.05,7,0.0,50,5,50
Alabama,2017-06-01,33.74,7,0.0,0,6,0
Alabama,2014-07-04,8.96,2,0.0,0,7,0
Alabama,2014-08-04,1215.92,8,0.0,200,8,200
Alabama,2015-08-09,21.36,8,0.0,0,8,0
Alabama,2017-11-06,3.76,2,0.0,0,11,0
Alabama,2016-12-06,224.9,4,0.0,50,12,50
Alabama,2015-06-13,976.29,17,0.0,75,6,75
Alabama,2017-11-13,239.92,8,0.0,50,11,50
Alabama,2016-07-14,29.0,2,0.0,0,7,0
Alabama,2015-09-15,1918.79,12,0.0,200,9,200
Alabama,2015-03-16,498.93,7,0.0,50,3,50
Alabama,2017-04-16,503.22,6,0.0,75,4,75
Alabama,2016-09-18,1264.14,7,0.0,200,9,200
Alabama,2014-10-18,2216.8,14,0.0,500,10,500
Alabama,2016-11-18,1319.96,4,0.0,200,11,200
Alabama,2017-05-19,26.16,4,0.0,0,5,0
Alabama,2014-12-19,1979.8899999999999,21,0.0,200,12,200
Alabama,2015-03-22,19.56,4,0.0,0,3,0
Alabama,2014-05-22,180.93,3,0.0,50,5,50
Alabama,2017-12-22,141.96,2,0.0,50,12,50
Alabama,2016-05-23,4.98,1,0.0,0,5,0
Alabama,2015-07-25,457.03999999999996,11,0.0,50,7,50
Alabama,2016-11-25,73.36,7,0.0,0,11,0
Alabama,2017-12-25,819.2800000000001,12,0.0,75,12,75
Alabama,2017-01-26,22.630000000000003,9,0.0,0,1,0
Alabama,2016-11-26,3236.41,23,0.0,500,11,500
Alabama,2014-12-27,521.92,9,0.0,75,12,75
Alabama,2014-11-28,14.67,3,0.0,0,11,0
Alabama,2016-05-29,1002.7,10,0.0,200,5,200
Alabama,2016-09-29,298.83,15,0.0,50,9,50
Arizona,2016-01-04,61.704,7,0.4,0,1,0
